STATION_ID,LONGITUDE,LATITUDE,bairdi,bkc,ei,hybrid,opilio,rkc,TYPE
GF1918,-168.62,56.83,Pribilof MTCA,Pribilof MTCA,Pribilof MTCA,Pribilof MTCA,Pribilof MTCA,Pribilof MTCA,corner
GF2019,-169.3,56.83,Pribilof MTCA,Pribilof MTCA,Pribilof MTCA,Pribilof MTCA,Pribilof MTCA,Pribilof MTCA,corner
GF2120,-169.9,56.83,Pribilof MTCA,Pribilof MTCA,Pribilof MTCA,Pribilof MTCA,Pribilof MTCA,Pribilof MTCA,corner
GF2221,-170.48,56.83,Pribilof MTCA,Pribilof MTCA,Pribilof MTCA,Pribilof MTCA,Pribilof MTCA,Pribilof MTCA,corner
GF2322,-171.1,56.83,West 166,Pribilof Single,Pribilof Single,Single,Single,Pribilof Single,misc
GF2423,-171.75,56.83,West 166,Pribilof Single,Pribilof Single,Single,Single,Pribilof Single,misc
GF2524,-172.33,56.83,West 166,Pribilof Single,Pribilof Single,Single,Single,Pribilof Single,misc
H-01,-167.73,57.33,West 166,Pribilof Single,Bristol Bay,Single,Single,Bristol Bay,standard
H-02,-167.12,57.33,West 166,BKC Unstratified,Bristol Bay,Single,Single,Bristol Bay,standard
H-03,-166.48,57.33,West 166,BKC Unstratified,Bristol Bay,Single,Single,Bristol Bay,standard
H-04,-165.87,57.33,East 166,BKC Unstratified,Bristol Bay,Single,Single,Bristol Bay,standard
H-05,-165.23,57.33,East 166,BKC Unstratified,Bristol Bay,Single,Single,Bristol Bay,standard
H-06,-164.62,57.33,East 166,BKC Unstratified,Bristol Bay,Single,Single,Bristol Bay,standard
H-07,-164,57.33,East 166,BKC Unstratified,Bristol Bay,Single,Single,Bristol Bay,standard
H-08,-163.38,57.33,East 166,BKC Unstratified,Bristol Bay,Single,Single,Bristol Bay,standard
H-09,-162.77,57.33,East 166,BKC Unstratified,Bristol Bay,Single,Single,Bristol Bay,standard
H-10,-162.15,57.33,East 166,BKC Unstratified,Bristol Bay,Single,Single,Bristol Bay,standard
H-11,-161.53,57.33,East 166,BKC Unstratified,Bristol Bay,Single,Single,Bristol Bay,standard
H-12,-160.93,57.33,East 166,BKC Unstratified,Bristol Bay,Single,Single,Bristol Bay,standard
H-13,-160.3,57.33,East 166,BKC Unstratified,Bristol Bay,Single,Single,Bristol Bay,standard
H-14,-159.67,57.33,East 166,BKC Unstratified,Bristol Bay,Single,Single,Bristol Bay,standard
H-15,-159.07,57.33,East 166,BKC Unstratified,Bristol Bay,Single,Single,Bristol Bay,standard
H-16,-158.4,57.33,East 166,BKC Unstratified,Bristol Bay,Single,Single,Bristol Bay,standard
H-18,-168.37,57.33,Pribilof MTCA,Pribilof MTCA,Pribilof MTCA,Pribilof MTCA,Pribilof MTCA,Pribilof MTCA,standard
H-19,-168.98,57.33,Pribilof MTCA,Pribilof MTCA,Pribilof MTCA,Pribilof MTCA,Pribilof MTCA,Pribilof MTCA,standard
H-20,-169.6,57.33,Pribilof MTCA,Pribilof MTCA,Pribilof MTCA,Pribilof MTCA,Pribilof MTCA,Pribilof MTCA,standard
H-21,-170.22,57.33,Pribilof MTCA,Pribilof MTCA,Pribilof MTCA,Pribilof MTCA,Pribilof MTCA,Pribilof MTCA,standard
H-22,-170.85,57.33,Pribilof MTCA,Pribilof MTCA,Pribilof MTCA,Pribilof MTCA,Pribilof MTCA,Pribilof MTCA,standard
H-23,-171.47,57.33,West 166,Pribilof Single,Pribilof Single,Single,Single,Pribilof Single,standard
H-24,-172.1,57.33,West 166,Pribilof Single,Pribilof Single,Single,Single,Pribilof Single,standard
H-25,-172.72,57.33,West 166,Pribilof Single,Pribilof Single,Single,Single,Pribilof Single,standard
H-26,-173.33,57.33,West 166,Pribilof Single,Pribilof Single,Single,Single,Pribilof Single,standard
HG1918,-168.63,57.17,Pribilof MTCA,Pribilof MTCA,Pribilof MTCA,Pribilof MTCA,Pribilof MTCA,Pribilof MTCA,corner
HG2019,-169.32,57.17,Pribilof MTCA,Pribilof MTCA,Pribilof MTCA,Pribilof MTCA,Pribilof MTCA,Pribilof MTCA,corner
HG2120,-169.9,57.17,Pribilof MTCA,Pribilof MTCA,Pribilof MTCA,Pribilof MTCA,Pribilof MTCA,Pribilof MTCA,corner
HG2221,-170.48,57.17,Pribilof MTCA,Pribilof MTCA,Pribilof MTCA,Pribilof MTCA,Pribilof MTCA,Pribilof MTCA,corner
HG2322,-171.17,57.17,West 166,Pribilof Single,Pribilof Single,Single,Single,Pribilof Single,misc
HG2423,-171.8,57.17,West 166,Pribilof Single,Pribilof Single,Single,Single,Pribilof Single,misc
HG2524,-172.42,57.17,West 166,Pribilof Single,Pribilof Single,Single,Single,Pribilof Single,misc
HG2625,-173.02,57.17,West 166,Pribilof Single,Pribilof Single,Single,Single,Pribilof Single,misc
I-01,-167.77,57.67,West 166,Pribilof Single,Bristol Bay,Single,Single,Bristol Bay,standard
I-02,-167.13,57.67,West 166,BKC Unstratified,Bristol Bay,Single,Single,Bristol Bay,standard
I-03,-166.5,57.67,West 166,BKC Unstratified,Bristol Bay,Single,Single,Bristol Bay,standard
I-04,-165.88,57.67,East 166,BKC Unstratified,Bristol Bay,Single,Single,Bristol Bay,standard
I-05,-165.25,57.67,East 166,BKC Unstratified,Bristol Bay,Single,Single,Bristol Bay,standard
I-06,-164.62,57.67,East 166,BKC Unstratified,Bristol Bay,Single,Single,Bristol Bay,standard
I-07,-164,57.67,East 166,BKC Unstratified,Bristol Bay,Single,Single,Bristol Bay,standard
I-08,-163.37,57.67,East 166,BKC Unstratified,Bristol Bay,Single,Single,Bristol Bay,standard
I-09,-162.75,57.67,East 166,BKC Unstratified,Bristol Bay,Single,Single,Bristol Bay,standard
I-10,-162.13,57.67,East 166,BKC Unstratified,Bristol Bay,Single,Single,Bristol Bay,standard
I-11,-161.5,57.67,East 166,BKC Unstratified,Bristol Bay,Single,Single,Bristol Bay,standard
I-12,-160.88,57.67,East 166,BKC Unstratified,Bristol Bay,Single,Single,Bristol Bay,standard
I-13,-160.27,57.67,East 166,BKC Unstratified,Bristol Bay,Single,Single,Bristol Bay,standard
I-14,-159.63,57.67,East 166,BKC Unstratified,Bristol Bay,Single,Single,Bristol Bay,standard
I-15,-159.02,57.67,East 166,BKC Unstratified,Bristol Bay,Single,Single,Bristol Bay,standard
I-16,-158.35,57.67,East 166,BKC Unstratified,Bristol Bay,Single,Single,Bristol Bay,standard
I-18,-168.4,57.67,Pribilof MTCA,Pribilof MTCA,Pribilof MTCA,Pribilof MTCA,Pribilof MTCA,Pribilof MTCA,standard
I-19,-169.03,57.67,Pribilof MTCA,Pribilof MTCA,Pribilof MTCA,Pribilof MTCA,Pribilof MTCA,Pribilof MTCA,standard
I-20,-169.65,57.67,Pribilof MTCA,Pribilof MTCA,Pribilof MTCA,Pribilof MTCA,Pribilof MTCA,Pribilof MTCA,standard
I-21,-170.27,57.67,Pribilof MTCA,Pribilof MTCA,Pribilof MTCA,Pribilof MTCA,Pribilof MTCA,Pribilof MTCA,standard
I-22,-170.9,57.67,Pribilof MTCA,Pribilof MTCA,Pribilof MTCA,Pribilof MTCA,Pribilof MTCA,Pribilof MTCA,standard
I-23,-171.53,57.67,West 166,Pribilof Single,Pribilof Single,Single,Single,Pribilof Single,standard
I-24,-172.17,57.67,West 166,Pribilof Single,Pribilof Single,Single,Single,Pribilof Single,standard
I-25,-172.8,57.67,West 166,Pribilof Single,Pribilof Single,Single,Single,Pribilof Single,standard
I-26,-173.4,57.67,West 166,Pribilof Single,Pribilof Single,Single,Single,Pribilof Single,standard
IH1918,-168.75,57.5,Pribilof MTCA,Pribilof MTCA,Pribilof MTCA,Pribilof MTCA,Pribilof MTCA,Pribilof MTCA,corner
IH2019,-169.37,57.5,Pribilof MTCA,Pribilof MTCA,Pribilof MTCA,Pribilof MTCA,Pribilof MTCA,Pribilof MTCA,corner
IH2120,-169.98,57.5,Pribilof MTCA,Pribilof MTCA,Pribilof MTCA,Pribilof MTCA,Pribilof MTCA,Pribilof MTCA,corner
IH2221,-170.58,57.5,Pribilof MTCA,Pribilof MTCA,Pribilof MTCA,Pribilof MTCA,Pribilof MTCA,Pribilof MTCA,corner
IH2322,-171.2,57.5,West 166,Pribilof Single,Pribilof Single,Single,Single,Pribilof Single,misc
IH2423,-171.88,57.5,West 166,Pribilof Single,Pribilof Single,Single,Single,Pribilof Single,misc
IH2524,-172.48,57.5,West 166,Pribilof Single,Pribilof Single,Single,Single,Pribilof Single,misc
IH2625,-173.05,57.5,West 166,Pribilof Single,Pribilof Single,Single,Single,Pribilof Single,misc
IH2726,-173.68,57.5,West 166,Pribilof Single,Pribilof Single,Single,Single,Pribilof Single,misc
J-01,-167.8,58,West 166,Pribilof Single,Bristol Bay,Single,Single,Bristol Bay,standard
J-02,-167.17,58,West 166,BKC Unstratified,Bristol Bay,Single,Single,Bristol Bay,standard
J-03,-166.52,58,West 166,BKC Unstratified,Bristol Bay,Single,Single,Bristol Bay,standard
J-04,-165.9,58,East 166,BKC Unstratified,Bristol Bay,Single,Single,Bristol Bay,standard
J-05,-165.25,58,East 166,BKC Unstratified,Bristol Bay,Single,Single,Bristol Bay,standard
J-06,-164.62,58,East 166,BKC Unstratified,Bristol Bay,Single,Single,Bristol Bay,standard
J-07,-164,58,East 166,BKC Unstratified,Bristol Bay,Single,Single,Bristol Bay,standard
J-08,-163.37,58,East 166,BKC Unstratified,Bristol Bay,Single,Single,Bristol Bay,standard
J-09,-162.75,58,East 166,BKC Unstratified,Bristol Bay,Single,Single,Bristol Bay,standard
J-10,-162.12,58,East 166,BKC Unstratified,Bristol Bay,Single,Single,Bristol Bay,standard
J-11,-161.48,58,East 166,BKC Unstratified,Bristol Bay,Single,Single,Bristol Bay,standard
J-12,-160.85,58,East 166,BKC Unstratified,Bristol Bay,Single,Single,Bristol Bay,standard
J-13,-160.22,58,East 166,BKC Unstratified,Bristol Bay,Single,Single,Bristol Bay,standard
J-14,-159.6,58,East 166,BKC Unstratified,Bristol Bay,Single,Single,Bristol Bay,standard
J-15,-158.97,58,East 166,BKC Unstratified,Bristol Bay,Single,Single,Bristol Bay,standard
J-16,-158.32,58,East 166,BKC Unstratified,Bristol Bay,Single,Single,Bristol Bay,standard
J-18,-168.43,58,Pribilof MTCA,Pribilof MTCA,Pribilof MTCA,Pribilof MTCA,Pribilof MTCA,Pribilof MTCA,standard
J-19,-169.07,58,Pribilof MTCA,Pribilof MTCA,Pribilof MTCA,Pribilof MTCA,Pribilof MTCA,Pribilof MTCA,standard
J-20,-169.7,58,Pribilof MTCA,Pribilof MTCA,Pribilof MTCA,Pribilof MTCA,Pribilof MTCA,Pribilof MTCA,standard
J-21,-170.33,58,Pribilof MTCA,Pribilof MTCA,Pribilof MTCA,Pribilof MTCA,Pribilof MTCA,Pribilof MTCA,standard
J-22,-170.97,58,Pribilof MTCA,Pribilof MTCA,Pribilof MTCA,Pribilof MTCA,Pribilof MTCA,Pribilof MTCA,standard
J-23,-171.6,58,West 166,Pribilof Single,Pribilof Single,Single,Single,Pribilof Single,standard
J-24,-172.23,58,West 166,Pribilof Single,Pribilof Single,Single,Single,Pribilof Single,standard
J-25,-172.87,58,West 166,Pribilof Single,Pribilof Single,Single,Single,Pribilof Single,standard
J-26,-173.48,58,West 166,Pribilof Single,Pribilof Single,Single,Single,Pribilof Single,standard
JI1918,-168.73,57.83,Pribilof MTCA,Pribilof MTCA,Pribilof MTCA,Pribilof MTCA,Pribilof MTCA,Pribilof MTCA,corner
JI2019,-169.37,57.83,Pribilof MTCA,Pribilof MTCA,Pribilof MTCA,Pribilof MTCA,Pribilof MTCA,Pribilof MTCA,corner
