SURVEY_YEAR,VESSEL,CRUISE,HAUL,STATIONID,GIS_STATION
1979,28,197901,197,JI2423,JI2423
1979,28,197901,198,IH2524,IH2524
1979,28,197901,199,HG2625,HG2625
1979,28,197901,200,IH2726,IH2726
1979,28,197901,201,JI2625,JI2625
1979,28,197901,203,KJ2524,KJ2524
1979,28,197901,204,LK2423,LK2423
1979,28,197901,207,ML2524,ML2524
1979,28,197901,208,LK2625,LK2625
1979,28,197901,209,KJ2726,KJ2726
1979,28,197901,210,ML2726,ML2726
1979,28,197901,211,NM2625,NM2625
1979,28,197901,215,ON2726,ON2726
1979,28,197901,216,NM2827,NM2827
1979,28,197901,218,ML2928,ML2928
1979,28,197901,219,NM3029,NM3029
1979,28,197901,220,ML3130,ML3130
1979,28,197901,221,NM3231,NM3231
1979,28,197901,222,ON3130,ON3130
1979,28,197901,223,PO3029,PO3029
1979,28,197901,225,PO2827,PO2827
1979,28,197901,228,RQ2827,RQ2827
1979,28,197901,229,QP2928,QP2928
1979,28,197901,230,RQ3029,RQ3029
1979,28,197901,231,QP3130,QP3130
1979,28,197901,232,PO3231,PO3231
1979,28,197901,233,RQ3231,RQ3231
1979,28,197901,234,SR3130,SR3130
1979,28,197901,235,TS3029,TS3029
1979,28,197901,241,R-26,R-26
1979,28,197901,242,Q-26,Q-26
1979,28,197901,243,Q-25,Q-25
1979,28,197901,244,R-25,R-25
1979,28,197901,245,R-24,R-24
1979,28,197901,246,R-23,R-23
1979,28,197901,247,Q-23,Q-23
1979,28,197901,248,P-23,P-23
1979,28,197901,249,P-24,P-24
1979,28,197901,250,P-25,P-25
1979,28,197901,15,FE2221,FE2221
1979,28,197901,17,GF2322,GF2322
1979,28,197901,18,GF2423,GF2423
1979,28,197901,251,L-22,L-22
1979,28,197901,252,L-21,L-21
1979,28,197901,253,K-21,K-21
1979,28,197901,254,K-20,K-20
1979,28,197901,255,K-19,K-19
1979,28,197901,256,K-18,K-18
1979,28,197901,257,K-01,K-01
1979,28,197901,258,K-02,K-02
1979,28,197901,259,K-08,K-08
1979,28,197901,260,L-09,L-09
1979,28,197901,262,M-07,M-07
1979,28,197901,263,N-07,N-07
1979,28,197901,264,M-06,M-06
1979,28,197901,265,N-05,N-05
1979,28,197901,266,O-04,O-04
1979,28,197901,267,N-03,N-03
1979,28,197901,268,O-02,O-02
1979,28,197901,269,P-01,P-01
1979,28,197901,270,P-18,P-18
1979,28,197901,271,Q-18,Q-18
1979,28,197901,272,Q-02,Q-02
1979,28,197901,298,S-25,S-25
1979,28,197901,299,S-23,S-23
1979,28,197901,302,Q-20,Q-20
1979,28,197901,303,P-19,P-19
1979,28,197901,304,O-20,O-20
1979,28,197901,305,P-21,P-21
1979,28,197901,307,Q-22,Q-22
1979,28,197901,308,O-24,O-24
1979,28,197901,309,N-23,N-23
1979,28,197901,311,O-22,O-22
1979,28,197901,312,N-21,N-21
1979,28,197901,313,M-22,M-22
1979,28,197901,314,M-20,M-20
1979,28,197901,315,N-19,N-19
1979,28,197901,316,O-18,O-18
1979,28,197901,317,N-01,N-01
1979,28,197901,318,O-01,O-01
1979,28,197901,319,Q-01,Q-01
1979,28,197901,320,Q-19,Q-19
1979,28,197901,321,P-20,P-20
1979,28,197901,322,Q-21,Q-21
1979,28,197901,323,P-22,P-22
1979,28,197901,324,O-23,O-23
1979,28,197901,325,N-22,N-22
1979,28,197901,326,M-21,M-21
1979,28,197901,327,N-20,N-20
1979,28,197901,328,O-21,O-21
1979,28,197901,329,O-19,O-19
1979,28,197901,330,N-18,N-18
1979,28,197901,331,M-19,M-19
1979,28,197901,332,M-18,M-18
1979,28,197901,333,M-01,M-01
1979,28,197901,334,M-02,M-02
1979,28,197901,335,N-02,N-02
1979,28,197901,336,O-03,O-03
1979,28,197901,337,N-04,N-04
1979,28,197901,338,M-04,M-04
1979,28,197901,339,M-03,M-03
1979,28,197901,224,ON2928,ON2928
1979,28,197901,261,M-08,M-08
1979,28,197901,147,J-10,J-10
1979,28,197901,154,I-08,I-08
1979,28,197901,159,I-07,I-07
